"No_";"Posting Date";"Currency Code";"Currency Factor";"Payment Discount _";"Sell-to Customer No_"
"FVV140979";"10-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1417"
"FVV140980";"10-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1172"
"FVV140981";"11-06-2014";"USD";"1,35000000000000000000";"0,00000000000000000000";"CLI1508"
"FVV140982";"11-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1314"
"FVV140983";"11-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI087"
"FVV140984";"11-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1132"
"FVV140985";"11-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43074050"
"FVV140986";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1100"
"FVV140987";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1330"
"FVV140988";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1607"
"FVV140989";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43033250"
"FVV140990";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1574"
"FVV140991";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1618"
"FVV140992";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43031120"
"FVV140993";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1556"
"FVV140994";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43060050"
"FVV140995";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1581"
"FVV140996";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1042"
"FVV140997";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43088210"
"FVV140998";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI103"
"FVV140999";"12-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1474"
"FVV141000";"13-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1509"
"FVV141001";"13-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1590"
"FVV141002";"13-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1561"
"FVV141003";"13-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1481"
"FVV141004";"13-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1432"
"FVV141005";"13-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1388"
"FVV141006";"13-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43065065"
"FVV141007";"13-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43077160"
"FVV141008";"13-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1516"
"FVV141009";"13-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1398"
