Año,Mes,Importe Neto ,Familia
2019,julio,422.6703046226877,Familia P8
2019,julio,5749.82036861122,Familia P9
2019,julio,13.007116183163316,Familia PP
2019,julio,4112.367792414147,Familia SE
2019,agosto,3178698.892426001,Familia EL
2019,agosto,88027.58672407946,Familia MP
2019,agosto,14939.363690013352,Familia P1
2019,agosto,21043.965650710827,Familia P2
2019,agosto,23574.228783541177,Familia P3
2019,agosto,61586.76365600538,Familia P4
2019,agosto,38823.795465205534,Familia P5
2019,agosto,26961.67969322159,Familia P6
2019,agosto,3363.1481689049906,Familia P7
2019,agosto,714.9509484012912,Familia P8
2019,agosto,8636.943786320511,Familia P9
2019,agosto,2.5095355893756452,Familia PC
2019,agosto,6384.335328919521,Familia SE
2019,septiembre,2648504.715396371,Familia EL
2019,septiembre,73998.09655395965,Familia MP
2019,septiembre,11292.322289195548,Familia P1
2019,septiembre,11565.608174666933,Familia P2
2019,septiembre,11496.373969595501,Familia P3
2019,septiembre,59587.45979680197,Familia P4
2019,septiembre,23167.6993285086,Familia P5
2019,septiembre,19237.502230936854,Familia P6
2019,septiembre,832.3164572813811,Familia P7
2019,septiembre,1312.1028042683947,Familia P8
2019,septiembre,57645.46615260536,Familia P9
2019,septiembre,287.51265203142054,Familia SE
2019,octubre,3753659.267321817,Familia EL
2019,octubre,84995.00437713023,Familia MP
2019,octubre,5710.648055016919,Familia P1
2019,octubre,13300.319143069322,Familia P2
2019,octubre,25503.89681950241,Familia P3
2019,octubre,110068.1796101455,Familia P4
2019,octubre,46722.94968472711,Familia P5
2019,octubre,53085.2106252099,Familia P6
2019,octubre,3070.444632018729,Familia P7
2019,octubre,288.0773875551997,Familia P8
2019,octubre,464.9202380942563,Familia P9
2019,octubre,30330.390522710823,Familia PM
2019,octubre,1800,Familia PP
2019,octubre,1849.924671795313,Familia SE
2019,noviembre,2885940.35093529,Familia EL
2019,noviembre,137868.9471638915,Familia MP
2019,noviembre,32718.824646103538,Familia P1
2019,noviembre,46184.367176430715,Familia P2
2019,noviembre,45885.43573525831,Familia P3
2019,noviembre,79106.85741847886,Familia P4
2019,noviembre,65701.7544078695,Familia P5
2019,noviembre,33926.8170408593,Familia P6
2019,noviembre,2849.3285291627813,Familia P7
2019,noviembre,353.34647412992797,Familia P8
2019,noviembre,11499.71400900474,Familia P9
2019,noviembre,7181.065388310975,Familia SE
2019,diciembre,1146263.6832757895,Familia EL
2019,diciembre,35512.80836185938,Familia MP
2019,diciembre,11107.769429219119,Familia P1
2019,diciembre,10555.406930507495,Familia P2
2019,diciembre,17105.60801764744,Familia P3
2019,diciembre,30216.75789516035,Familia P4
2019,diciembre,11603.24856888606,Familia P5
2019,diciembre,7116.389517977324,Familia P6
2019,diciembre,129.6698458097382,Familia P7
2019,diciembre,116.18801522324938,Familia P8
2019,diciembre,10738.905174979347,Familia P9
2019,diciembre,1220.2369900537115,Familia SE
2020,enero,2778943.764255685,Familia EL
2020,enero,100042.68671396797,Familia MP
2020,enero,29246.882366878883,Familia P1
